loss,Accuracy,F1-Score
1.471121436,0.414902284,0.398638298
1.344741186,0.478289561,0.479083665
1.29677419,0.427471155,0.414142829
1.288070073,0.528050937,0.523003285
1.460672073,0.420599074,0.408452002
1.412929512,0.43366677,0.410655168
1.444057051,0.405553292,0.409477845
1.23059533,0.520881132,0.524423181
1.336288078,0.475278749,0.466466271
1.338499494,0.46654209,0.455906686
1.34211942,0.481030955,0.462978862
1.303978493,0.516641034,0.494373236
1.3935204,0.440923335,0.443463877
1.267645193,0.499552559,0.481399732
1.37776106,0.438643204,0.424135344
1.315892558,0.479002617,0.4539119
1.335012283,0.490125928,0.474496408
1.331012479,0.491470547,0.494713104
1.378976346,0.453652673,0.436150951
1.312590247,0.482017383,0.464912567
1.453817611,0.418094194,0.415573666
1.325517671,0.491244633,0.488531037
1.320002805,0.43254572,0.432423509
1.32275289,0.461729616,0.432598541
1.51855411,0.305442302,0.303021116
1.351159902,0.489654836,0.468440376
1.310745596,0.464636187,0.454186555
1.349325306,0.478196165,0.473726289
1.389414765,0.43219647,0.43543746
1.429218032,0.345292808,0.343315216
1.339882846,0.523466892,0.507828421
1.35741172,0.416613976,0.403776231
1.367535266,0.449879532,0.444523401
1.265267273,0.526597661,0.503394796
1.366028431,0.467081273,0.466388007
1.345069628,0.509899767,0.494828022
1.319965605,0.525465517,0.520860566
1.428617561,0.415706226,0.404248108
1.323459112,0.4542728,0.429710407
1.405496392,0.466526312,0.461575443
1.453484569,0.364509562,0.355484649
1.337792029,0.472479163,0.464851681
1.320267613,0.500466737,0.503686515
1.383877739,0.403884028,0.383714508
1.406051743,0.424475058,0.397024591
1.420136138,0.441080558,0.426798972
1.445907529,0.427812435,0.426994724
1.282608575,0.512308515,0.505690107
1.237430541,0.497560621,0.490257463
1.350311321,0.466966801,0.452699511
1.427150472,0.414807942,0.38630754
1.51099652,0.384354082,0.37809413
1.493102381,0.37719291,0.362647936
1.29109297,0.520769614,0.515097498
1.404722365,0.459614843,0.44771973
1.421869431,0.404908511,0.39864487
1.424489381,0.434181221,0.428627116
1.351305009,0.448946394,0.443053309
1.345052889,0.455676987,0.460279031
1.434150693,0.424144689,0.41258614
1.454950322,0.331523473,0.315593465
1.321704886,0.474651242,0.463942788
1.520312045,0.371170798,0.362312937
1.425151929,0.40422618,0.393791946
1.305185901,0.543591328,0.533758854
1.353811019,0.486794966,0.47729152
1.371970178,0.40069257,0.379450939
1.3922178,0.446246833,0.425442402
1.383424908,0.452201077,0.435641206
1.436000529,0.429439681,0.403203809
1.401646911,0.422332614,0.406170058
1.37470178,0.436951531,0.428787087
1.267099931,0.518860489,0.505706455
1.379544565,0.469464996,0.46732036
1.383642624,0.458137897,0.437970843
1.302087405,0.534187537,0.509560438
1.337441255,0.460713401,0.441979314
1.428210918,0.421121062,0.414684401
1.31385659,0.456521383,0.450551491
1.354547066,0.479984412,0.48149408
1.292066389,0.516977257,0.511644919
1.352186642,0.438318378,0.417733121
1.295639476,0.500300963,0.493487565
1.461894363,0.405809352,0.396127931
1.286126977,0.481404587,0.466929521
1.251397665,0.505591737,0.501069187
1.438792384,0.422204414,0.412828846
1.349858362,0.449289768,0.441066043
1.362559801,0.41371004,0.413789674
1.494764296,0.338372257,0.320111673
1.308255142,0.517748827,0.504716894
1.328452486,0.451510865,0.410905404
1.363217188,0.488894867,0.471751979
1.41900081,0.403936134,0.37995381
1.434862265,0.439589566,0.417875098
1.36433867,0.449133609,0.435457975
1.21640906,0.526285029,0.515198144
1.444671144,0.410602496,0.396220106
1.170239881,0.583080401,0.578310835
1.387030794,0.448343036,0.438957442
1.288905707,0.517551727,0.50906327
1.333201916,0.471313711,0.449482699
1.304439863,0.46528841,0.462125235
1.386111817,0.463498127,0.454306088
1.41875498,0.452508284,0.435883289
1.249250791,0.485207046,0.48331752
1.31614686,0.480258636,0.459033223
1.301822264,0.493991978,0.488057423
1.43171527,0.406859501,0.399133608
1.4551117,0.362738376,0.348640593
1.391768452,0.466341746,0.464741263
1.402148847,0.410806741,0.401613884
1.280605895,0.469828502,0.440821343
1.379219597,0.441722549,0.431061604
1.407261442,0.466302833,0.44728423
1.34829979,0.491254891,0.4715111
1.468105771,0.426183718,0.421327359
1.364282161,0.436412174,0.427391119
1.392414799,0.44896409,0.429210472
1.227775038,0.539790826,0.526764755
1.299508635,0.523312403,0.515592358
1.325394542,0.502044974,0.48499869
1.344029362,0.471899826,0.4553365
1.225703897,0.552608744,0.542208621
1.221956249,0.531527604,0.52608298
1.316061387,0.472067215,0.460788895
1.228583959,0.541254573,0.538872949
1.442484631,0.392919456,0.378137754
1.333487725,0.446823891,0.427465934
1.387006312,0.457199966,0.451917308
1.352955416,0.444649642,0.439129246
1.374466063,0.480854203,0.471604562
1.585693916,0.291449213,0.287184815
1.303277212,0.475332924,0.480786294
1.494076479,0.373544485,0.371603402
1.227119698,0.547447395,0.532616964
1.225854896,0.548804095,0.530118934
1.349272008,0.459786896,0.449659615
1.347706089,0.457830063,0.449427996
1.489464995,0.414108935,0.407425768
1.319006473,0.473089697,0.456545137
1.355907142,0.411563014,0.406324626
1.300341033,0.450104305,0.43755579
1.340418506,0.501456131,0.510787535
1.329202644,0.475470181,0.44516899
1.368251532,0.465261931,0.450319712
